female,male
3.91E-04,4.84E-04
2.80E-04,1.13E-03
2.83E-04,1.09E-03
6.35E-04,1.72E-03
1.88E-03,3.74E-03
5.98E-03,1.26E-02
1.07E-02,2.43E-02
1.47E-02,3.31E-02
1.69E-02,3.18E-02
2.06E-02,3.75E-02
2.29E-02,3.60E-02
2.11E-02,2.95E-02
1.97E-02,1.98E-02
1.89E-02,1.47E-02
3.20E-02,2.37E-02
2.72E-02,1.73E-02
